subid,context_id,long,lat,description,final
6,117,-104.673,39.84447,airport,airport
6,101,-87.885,41.97659,airport,airport
16,317,-117.198,32.73145,airport,airport
16,315,-97.045,32.90451,airport,airport
16,316,-89.3473,43.13652,airport,airport
31,758,-81.9994,26.91774,airport,airport
37,903,-111.982,40.78661,airport,airport
37,904,-104.674,39.84954,airport,airport
37,906,-87.9001,41.97527,airport,airport
37,905,-71.0165,42.36663,airport,airport
43,1151,-97.6655,30.20485,airport,airport
43,1152,-89.3473,43.13652,airport,airport
58,1472,-89.3473,43.13652,airport,airport
121,2639,-89.3473,43.13652,airport,airport
130,2687,-104.6735,39.84944,denver airport,airport
130,2688,-93.2283,44.87399,mineappolis airport,airport
130,2707,-89.3458,43.13633,airport,airport
130,2686,-87.8409,41.98315,oâ€™hare airport,airport
130,2738,-104.6735,39.84944,airport,airport
131,2728,-89.3473,43.13652,airport,airport
158,3120,-117.1916,32.73037,airport,airport
158,3122,-90.3553,38.7371,airport,airport
161,3111,-87.902,42.94778,airport,airport
163,3185,-87.8908,41.97389,airport,airport
166,3225,-89.3486,43.13022,airport,airport
166,3228,-81.308,28.43116,airport,airport
179,3627,-93.2051,44.88257,airport,airport
180,3612,-89.3486,43.13022,airport,airport
180,3613,-89.3457,43.13564,airport,airport
180,3629,-87.902,42.94778,airport,airport
180,3630,-81.7549,26.52804,airport,airport
183,3689,-84.6545,39.05333,airport,airport
193,3974,-77.0449,38.85841,airport,airport
207,4227,-83.3554,42.21617,airport,airport
231,4784,-89.3457,43.13589,airport,airport
231,4780,-83.3615,42.20992,airport,airport
262,5245,-77.4478,38.95272,airport,airport
268,5353,-89.3473,43.13652,airport,airport
25,545,-89.2973,43.0728,church,church
30,706,-89.3574,43.09829,church,church
31,735,-89.4546,43.18945,church,church
33,822,-89.2372,42.93879,church,church
47,1196,-89.3892,43.07551,church,church
51,1265,-89.3774,43.13696,church,church
52,1298,-89.3641,43.12246,church,church
52,1278,-89.3124,43.12219,church,church
52,1313,-89.312,43.12272,church,church
58,1469,-89.5083,43.09482,bible school,church
58,1430,-89.5043,43.09722,momâ€™s group - blackhawk church,church
66,1620,-89.2727,43.09187,church,church
81,1850,-89.4327,42.70449,church,church
85,1924,-89.4702,43.03451,church,church
85,1926,-89.3983,43.07478,church,church
85,1925,-89.3843,42.93583,church,church
88,2026,-89.3894,43.07568,church,church
97,2178,-89.4729,43.57222,church,church
98,2207,-89.7751,43.15025,church,church
100,2266,-89.533,42.98371,church,church
116,2492,-89.5543,43.06188,blackhawk church,church
119,2595,-89.3641,43.12168,church,church
131,2815,-89.5333,42.9891,church,church
166,3206,-89.0762,43.05094,church,church
167,3249,-89.3948,43.01312,bible study group,church
6,98,-89.4079,43.07187,union south - uw campus,community space / recreation
7,131,-89.4919,43.05532,arcade,community space / recreation
7,121,-89.3936,43.04847,improv practice space workshops,community space / recreation
28,628,-89.3437,43.09673,community center,community space / recreation
30,716,-89.367,43.07976,community center,community space / recreation
44,1175,-89.4079,43.07187,union south,community space / recreation
48,1210,-89.3546,43.09325,ceramic studio,community space / recreation
76,1679,-89.453,43.07184,cinema,community space / recreation
77,1739,-89.3518,43.09272,atwood festival,community space / recreation
80,1825,-89.5027,43.06693,community center,community space / recreation
80,1841,-89.502,43.06635,community center,community space / recreation
92,2097,-89.4919,43.05532,arcade,community space / recreation
130,2702,-89.6128,43.04023,appleberry farm,community space / recreation
130,2685,-89.4866,43.04846,ice rink,community space / recreation
130,2678,-89.287,43.02916,ice rink,community space / recreation
139,2952,-89.4079,43.07187,union south,community space / recreation
158,3074,-89.2244,43.09622,dog rescue,community space / recreation
172,3438,-89.4079,43.07187,union south,community space / recreation
189,3834,-89.3659,43.08555,gallery,community space / recreation
224,4580,-89.4108,43.05807,zoo,community space / recreation
225,4635,-89.232,43.17538,community garden,community space / recreation
231,4778,-70.7576,43.07853,gallery,community space / recreation
252,5160,-89.41,43.06061,zoo,community space / recreation
1,12,-89.3268,43.1099,drop off/ computer for repair,errands
1,5,-89.319,43.09681,bought groceries,errands
2,26,-89.3126,43.12241,salon,errands
2,39,-89.2727,43.16984,costco,errands
6,94,-89.4068,43.07496,friendâ€™s work uw medical,errands
11,186,-89.3061,43.12442,mall,errands
15,278,-89.323,43.11419,vw dealership,errands
