Column 01,Column 02,Column 03,Column 04,Column 05,Column 06,Column 07
subid,long,lat,description,Proposed label,Notes by Hannah,final
6,-77.0472,38.89928,@ conference,public community spaces,community space / recreation,community space / recreation
52,-89.3805,43.07125,“shake the lake” fireworks,,community space / recreation,community space / recreation
166,-82.1491,28.01669,agriculture center,,,
43,-80.8469,31.99947,air bnb,temporary residence,,temporary residence
48,-87.6947,41.92578,air bnb,temporary residence,,temporary residence
211,-85.6509,42.20943,air bnb,temporary residence,,temporary residence
231,-70.7627,42.98697,air bnb,temporary residence,,temporary residence
248,-99.3545,46.27924,air bnb,temporary residence,,temporary residence
221,-105.048,39.77226,airbnb,temporary residence,,temporary residence
221,-105.957,35.68268,airbnb,temporary residence,,temporary residence
6,-87.7945,41.86496,airbnb (hotel),temporary residence,,temporary residence
6,-87.885,41.97659,airport,airport,,airport
6,-104.673,39.84447,airport,airport,,airport
16,-97.045,32.90451,airport,airport,,airport
16,-89.3473,43.13652,airport,airport,,airport
16,-117.198,32.73145,airport,airport,,airport
31,-81.9994,26.91774,airport,airport,,airport
37,-111.982,40.78661,airport,airport,,airport
37,-104.674,39.84954,airport,airport,,airport
37,-71.0165,42.36663,airport,airport,,airport
37,-87.9002,41.97527,airport,airport,,airport
43,-97.6655,30.20485,airport,airport,,airport
43,-89.3473,43.13652,airport,airport,,airport
58,-89.3473,43.13652,airport,airport,,airport
121,-89.3473,43.13652,airport,airport,,airport
130,-89.3458,43.13633,airport,airport,,airport
131,-89.3473,43.13652,airport,airport,,airport
131,-104.674,39.84944,airport,airport,,airport
161,-87.902,42.94778,airport,airport,,airport
161,-117.192,32.73037,airport,airport,,airport
161,-90.3553,38.7371,airport,airport,,airport
163,-87.8908,41.97389,airport,airport,,airport
166,-89.3486,43.13022,airport,airport,,airport
166,-81.308,28.43116,airport,airport,,airport
180,-89.3486,43.13022,airport,airport,,airport
180,-89.3457,43.13564,airport,airport,,airport
180,-93.2051,44.88257,airport,airport,,airport
180,-87.902,42.94778,airport,airport,,airport
180,-81.7549,26.52804,airport,airport,,airport
183,-84.6545,39.05333,airport,airport,,airport
193,-77.0449,38.85841,airport,airport,,airport
207,-83.3554,42.21617,airport,airport,,airport
231,-83.3615,42.20992,airport,airport,,airport
231,-89.3457,43.13589,airport,airport,,airport
262,-77.4478,38.95272,airport,airport,,airport
268,-89.3473,43.13652,airport,airport,,airport
1,-89.3074,43.11461,alter recycling center,public community spaces,community space / recreation,community space / recreation
225,-93.4565,44.80017,amusement park,public community spaces,community space / recreation,community space / recreation
225,-89.2459,43.17288,apartment office,public community spaces,community space / recreation,community space / recreation
130,-89.6128,43.04023,appleberry farm,public community spaces,community space / recreation,community space / recreation
7,-89.4919,43.05532,arcade,public community spaces,community space / recreation,community space / recreation
92,-89.4919,43.05532,arcade,public community spaces,community space / recreation,community space / recreation
30,-89.3476,43.09379,art store,public community spaces,errands,errands
264,-89.4069,43.03301,attorney’s office,public community spaces,errands,errands
77,-89.3518,43.09272,atwood festival,,community space / recreation,community space / recreation
77,-89.3075,43.08466,auto mechanic / gas station,errands,,errands
192,-89.5451,43.09736,auto repair,errands,,errands
238,-89.0298,43.34449,auto shop,,errands,errands
269,-89.3944,43.04282,auto shop (husbands work),,errands,errands
183,-89.2388,42.91781,autograph,,,
48,-87.9712,43.02798,ball park,public community spaces,public drinking space,public drinking space
77,-89.3066,43.0838,bank,public community spaces,errands,errands
79,-89.3213,43.0475,bank,public community spaces,errands,errands
189,-89.3154,43.1076,bank,public community spaces,errands,errands
189,-89.3845,43.07637,bank,public community spaces,errands,errands
200,-89.323,43.084,bank,public community spaces,errands,errands
27,-89.019,42.96968,barn,public community spaces,community space / recreation,community space / recreation
6,-87.8751,43.06084,beach,public community spaces,community space / recreation,community space / recreation
31,-81.7341,25.93866,beach,public community spaces,community space / recreation,community space / recreation
31,-81.7291,25.93071,beach,public community spaces,community space / recreation,community space / recreation
44,-155.726,20.19531,beach,public community spaces,community space / recreation,community space / recreation
6,-89.4108,43.05807,beach / park,public community spaces,community space / recreation,community space / recreation
30,-89.3807,43.08294,bed and breakfast,temporary residence,,temporary residence
48,-89.3304,43.08787,beer garden @ olbrich park,public community spaces,public drinking space,public drinking space
183,-89.299,43.12941,best buy,errands,,errands
58,-89.5083,43.09482,bible school,public community spaces,community space / recreation,community space / recreation
167,-89.3948,43.01312,bible study group,public community spaces,community space / recreation,community space / recreation
116,-89.5543,43.06188,blackhawk church,public community spaces,community space / recreation,community space / recreation
203,-89.3005,43.12653,blood donation,public community spaces,community space / recreation,community space / recreation
99,-89.3722,43.12391,boat launch,public spaces w/o alcohol,community space / recreation,community space / recreation
180,-82.1915,26.52478,boat rental,public spaces w/o alcohol,community space / recreation,community space / recreation
54,-89.7097,45.871,bookshop,errands,,errands
263,-89.3927,43.07253,bosses house,others' home,,others' home
1,-89.319,43.09681,bought groceries,errands,,errands
119,-89.3459,43.10164,boutique,errands,,errands
181,-89.363,43.08447,boutique,errands,,errands
231,-89.3921,43.07469,boutique,errands,,errands
243,-89.453,43.07334,boutique,errands,,errands
25,-89.2926,43.12635,bowling alley,public community spaces,public drinking space,public drinking space
104,-89.2926,43.12635,bowling alley,public community spaces,public drinking space,public drinking space
143,-89.2427,43.17509,bowling alley,public community spaces,public drinking space,public drinking space
175,-89.4614,43.07448,boyfriend work,,errands,errands
242,-89.2116,43.20155,boyfriend’s dad’s house,others' home,,others' home
242,-89.3385,43.10919,boyfriend’s father’s home,others' home,,others' home
15,-87.9713,43.02874,brewers vs. pirates game with 50 friends & family members,public drinking spaces,,public drinking spaces
178,-89.2115,43.18285,brewery,public drinking spaces,,public drinking spaces
48,-89.3838,43.07299,brother’s office,,errands,errands
158,-87.9172,43.04497,bucks,,public drinking space,public drinking space
183,-87.9172,43.04497,bucks,,public drinking space,public drinking space
79,-89.4631,43.53967,burial site,public community spaces,community space / recreation,community space / recreation
80,-88.96,42.27497,bus,travel stop,,travel stop
11,-87.9173,43.03437,bus station,travel stop,,travel stop
80,-87.6396,41.87885,bus station,travel stop,,travel stop
80,-87.6265,41.87838,bus station,travel stop,,travel stop
118,-89.3941,43.03935,bus station,travel stop,,travel stop
