subid,long,lat,description,final,notes
166,-82.1491,28.01669,agriculture center,,
183,-89.2388,42.91781,autograph,,
268,-89.3607,43.08483,dog friend,,
222,-89.361,43.11344,dvr,,
240,-88.5787,43.98251,eaa,,
80,-87.6172,41.79942,film colleague,,
40,-89.4584,43.01161,icombat,,
166,-89.0692,43.05783,lion’s meeting,,
48,-89.2988,43.10745,mother of girlfriend,,
34,-89.3955,43.07358,piercing lounge,,
183,-89.395,43.07343,police ride along,,
11,-89.4836,43.05424,research study,,
28,-89.5776,46.82898,vacation,,
43,-97.8842,30.13062,vacation,,
58,-80.6948,32.19764,vacation,,
58,-80.6948,32.19748,vacation,,
163,-82.7818,27.78509,vacation,,
6,-87.885,41.97659,airport,airport,
6,-104.673,39.84447,airport,airport,
16,-97.045,32.90451,airport,airport,
16,-89.3473,43.13652,airport,airport,
16,-117.198,32.73145,airport,airport,
31,-81.9994,26.91774,airport,airport,
37,-111.982,40.78661,airport,airport,
37,-104.674,39.84954,airport,airport,
37,-71.0165,42.36663,airport,airport,
37,-87.9002,41.97527,airport,airport,
43,-97.6655,30.20485,airport,airport,
43,-89.3473,43.13652,airport,airport,
58,-89.3473,43.13652,airport,airport,
121,-89.3473,43.13652,airport,airport,
130,-89.3458,43.13633,airport,airport,
131,-89.3473,43.13652,airport,airport,
131,-104.674,39.84944,airport,airport,
161,-87.902,42.94778,airport,airport,
161,-117.192,32.73037,airport,airport,
161,-90.3553,38.7371,airport,airport,
163,-87.8908,41.97389,airport,airport,
166,-89.3486,43.13022,airport,airport,
166,-81.308,28.43116,airport,airport,
180,-89.3486,43.13022,airport,airport,
180,-89.3457,43.13564,airport,airport,
180,-93.2051,44.88257,airport,airport,
180,-87.902,42.94778,airport,airport,
180,-81.7549,26.52804,airport,airport,
183,-84.6545,39.05333,airport,airport,
193,-77.0449,38.85841,airport,airport,
207,-83.3554,42.21617,airport,airport,
231,-83.3615,42.20992,airport,airport,
231,-89.3457,43.13589,airport,airport,
262,-77.4478,38.95272,airport,airport,
268,-89.3473,43.13652,airport,airport,
130,-104.674,39.84944,denver airport,airport,
130,-93.2283,44.87399,mineappolis airport,airport,
130,-87.8409,41.98315,o’hare airport,airport,
52,-89.3805,43.07125,“shake the lake” fireworks,,
1,-89.3074,43.11461,alter recycling center,,
225,-93.4565,44.80017,amusement park,,
225,-89.2459,43.17288,apartment office,errands,
130,-89.6128,43.04023,appleberry farm,community space / recreation,
7,-89.4919,43.05532,arcade,community space / recreation,
92,-89.4919,43.05532,arcade,community space / recreation,
77,-89.3518,43.09272,atwood festival,community space / recreation,
27,-89.019,42.96968,barn,,
6,-87.8751,43.06084,beach,park,
31,-81.7341,25.93866,beach,park,
31,-81.7291,25.93071,beach,park,
44,-155.726,20.19531,beach,park,
6,-89.4108,43.05807,beach / park,park,
58,-89.5083,43.09482,bible school,church,
167,-89.3948,43.01312,bible study group,church,
116,-89.5543,43.06188,blackhawk church,church,
203,-89.3005,43.12653,blood donation,,
99,-89.3722,43.12391,boat launch,park,
180,-82.1915,26.52478,boat rental,park,
79,-89.4631,43.53967,burial site,,
64,-89.3839,43.07637,career homeless shelter,,
48,-89.3546,43.09325,ceramic studio,community space / recreation,
6,-89.4047,43.07259,chemistry daniels building,,
25,-89.2973,43.0728,church,church,
30,-89.3574,43.09829,church,church,
31,-89.4546,43.18945,church,church,
33,-89.2372,42.93879,church,church,
47,-89.3892,43.07551,church,church,
51,-89.3774,43.13696,church,church,
52,-89.3124,43.12219,church,church,
52,-89.3641,43.12246,church,church,
52,-89.312,43.12272,church,church,
66,-89.2727,43.09187,church,church,
81,-89.4327,42.70449,church,church,
85,-89.4703,43.03451,church,church,
85,-89.3843,42.93583,church,church,
85,-89.3983,43.07478,church,church,
88,-89.3894,43.07568,church,church,
97,-89.4729,43.57222,church,church,
98,-89.7751,43.15025,church,church,
100,-89.533,42.98371,church,church,
119,-89.3641,43.12168,church,church,
136,-89.5333,42.9891,church,church,
166,-89.0762,43.05094,church,church,
76,-89.453,43.07184,cinema,community space / recreation,
15,-89.4239,43.00237,city hall,,
80,-89.3966,43.03851,client,,
37,-88.841,43.84322,college,,
29,-89.4573,43.53893,columbia co. courthouse,,
28,-89.3437,43.09673,community center,community space / recreation,
30,-89.367,43.07976,community center,community space / recreation,
80,-89.5027,43.06693,community center,community space / recreation,
80,-89.502,43.06635,community center,community space / recreation,
225,-89.232,43.17538,community garden,community space / recreation,
88,-89.3841,43.07497,concerts & farmer’s market,park,
117,-87.6028,41.79194,conference,,
119,-89.0229,42.69028,conference,,
166,-89.7797,43.66168,conference,,
34,-87.9173,43.03976,convention,,
16,-117.163,32.70682,convention center,,
58,-83.0322,40.23996,country club,,
240,-89.4546,43.07932,country club,,
270,-89.3699,43.11415,country club,,
32,-89.381,43.07482,county bldg.,,
20,-89.7688,43.57097,cycling (kalahari),,
33,-89.2329,42.92412,daughter’s day care,errands,
191,-88.7451,42.84499,daughters sports,errands,
110,-89.4056,43.03095,daycare,errands,
169,-89.2967,43.10606,daycare,errands,
204,-89.507,43.07569,daycare,errands,
156,-89.3779,43.07869,daytime assistance,,
32,-89.3809,43.07749,daytime support,,
32,-89.3809,43.07749,daytime support,,
56,-89.7918,43.61402,dells,park,
56,-89.7847,43.61899,dells,park,
175,-89.5104,42.96088,dog park,park,
158,-89.2244,43.09622,dog rescue,community space / recreation,
34,-89.4079,43.07187,drumming practice,,
34,-89.4,43.07626,drumming practice,,
34,-89.4058,43.07444,drumming practice,,
189,-89.4,43.07626,election work,,
259,-89.3805,43.07125,event center,,
40,-89.3805,43.04423,expo,,
31,-89.4574,43.18301,family fun night,,
110,-89.3824,43.07373,farmer’s market,park,
139,-89.3841,43.07497,farmer’s market,park,
187,-89.4214,43.05984,farmers market,park,
167,-89.3997,43.06201,fishing,,
90,-89.3758,43.07505,fishing spot,,
90,-89.3307,43.02913,fishing spot,,
231,-89.3993,43.07459,food carts,,
139,-89.3533,43.12845,food pantry,,
99,-89.7197,43.27874,funeral home,,
179,-89.122,44.35425,funeral home,,
265,-91.4384,44.79672,funeral home,,
189,-89.3659,43.08555,gallery,community space / recreation,
231,-70.7576,43.07853,gallery,community space / recreation,
58,-89.4401,43.04161,golf club -> swim meet,errands,
31,-81.6288,26.01047,golf course,,
56,-87.9133,42.85696,golf course,,
130,-89.3258,43.06898,golf course,,
130,-89.231,43.08274,golf course,,
130,-89.2578,43.04311,golf course,,
130,-89.4739,43.04537,golf course,,
130,-89.3456,43.11148,golf course,,
130,-89.2624,43.04246,golf course,,
130,-89.9149,43.00964,golf course,,
85,-89.3824,42.9414,graveyard,,
59,-89.378,43.07861,hobby,,
29,-89.2454,43.11317,horse stable,,
29,-89.2454,43.11317,horse stable,,
20,-91.2853,44.54612,hunting,,
20,-91.2846,44.54429,hunting,,
20,-91.2803,44.54441,hunting,,
23,-91.8376,44.82346,hunting,,
130,-89.287,43.02916,ice rink,,
130,-89.4866,43.04846,ice rink,,
7,-89.3936,43.04847,improv practice space workshops,community space / recreation,
66,-89.361,43.11344,job center,,
150,-89.361,43.11344,job center,,
204,-89.361,43.11344,job center,,
32,-89.361,43.11344,job center + other services,,
58,-80.7566,32.18522,kayak,park,
92,-88.7826,44.19063,lake / river / boating,park,
79,-89.5012,43.0543,laser tag,,
7,-89.4503,43.05387,library,library,
11,-89.3873,43.07346,library,library,
11,-89.4013,43.07676,library,library,
11,-89.3993,43.07459,library,library,
19,-88.4577,44.185,library,library,
27,-89.0175,43.00288,library,library,
30,-89.3462,43.10159,library,library,
32,-89.3873,43.07346,library,library,
32,-89.3945,43.0415,library,library,
39,-89.3873,43.07346,library,library,
47,-89.4152,43.06593,library,library,
47,-89.3873,43.07346,library,library,
48,-89.3462,43.10159,library,library,
52,-89.363,43.12769,library,library,
52,-89.3462,43.10159,library,library,
54,-89.5338,42.85824,library,library,
58,-89.5093,43.09498,library,library,
74,-89.342,43.24702,library,library,
76,-89.2881,43.01356,library,library,
76,-89.3993,43.07459,library,library,
77,-89.324,43.08448,library,library,
82,-89.3873,43.07346,library,library,
84,-89.363,43.12769,library,library,
85,-89.3815,42.92597,library,library,
97,-89.4628,43.53848,library,library,
103,-89.2182,42.91649,library,library,
104,-89.3462,43.10159,library,library,
117,-87.2788,45.05147,library,library,
121,-89.3873,43.07346,library,library,
121,-89.3462,43.10159,library,library,
136,-89.5289,42.99615,library,library,
