subid,context_id,lat,long,description_inference,description,type_imputed,type
6,112,38.899285,-77.047185,,@ conference,NA,other
28,638,44.989288,-89.608642,,-99,NA,other
28,640,43.0807502,-89.370456,,-99,NA,other
28,641,43.1253008,-89.3550715,,-99,NA,other
31,753,25.931887,-81.7307189,,-99,NA,other
47,1194,43.06564,-89.417149,,-99,NA,other
47,1199,43.089898,-89.363225,,-99,NA,other
63,1551,43.0985075,-89.3491157,,-99,NA,other
63,1552,43.098927,-89.349097,,-99,NA,other
78,1773,44.5024691,-88.0643299,,-99,NA,other
80,1807,43.0345148,-89.4238973,,-99,NA,other
80,1823,41.645821,-87.6353782,,-99,NA,other
82,1887,43.074487,-89.3865779,,-99,NA,other
88,2034,43.0497171,-89.3245114,,-99,NA,other
88,2038,43.0484714,-89.393571,,-99,NA,other
90,2056,43.0723647,-89.3824673,,-99,NA,other
92,2105,43.053164,-89.3963009,,-99,NA,other
93,2125,43.041732,-89.506086,,-99,NA,other
99,2253,43.0036473,-89.4142841,,-99,NA,other
99,2257,43.1289224,-89.3800832,,-99,NA,other
103,2306,43.1452979,-88.0505206,,-99,NA,other
118,2558,43.0831873,-89.5272297,,-99,NA,other
118,2559,43.1134374,-89.3610296,,-99,NA,other
131,2739,39.7439282,-104.9961504,,-99,NA,other
135,2791,43.1760886,-89.2442682,,-99,NA,other
135,2793,43.1415394,-89.287351,,-99,NA,other
161,3103,42.7184908,-88.9795536,,-99,NA,other
167,3315,43.1124072,-89.3102774,,-99,NA,other
169,3375,43.0386901,-89.3854607,,-99,NA,other
169,3379,43.174265,-89.2489098,,-99,NA,other
180,3623,43.0593772,-89.4915306,,-99,NA,other
180,3624,43.05901,-89.4969969,,-99,NA,other
197,4060,43.0745113,-89.4968632,,-99,NA,other
205,4196,43.1226455,-89.3093721,,-99,NA,other
215,4411,43.1041216,-89.4943983,,-99,NA,other
240,4922,43.0732644,-89.3811793,,-99,NA,other
1,8,43.1146148,-89.3073509,,alter recycling center,NA,other
225,4681,43.1728834,-89.2459393,,apartment office,NA,other
30,703,43.0937889,-89.3476298,,art store,NA,other
264,5290,43.0330146,-89.4069057,,attorneyâ€™s office,NA,other
183,3681,42.9178083,-89.2387719,,autograph,NA,other
27,593,42.969677,-89.0189601,,barn,NA,other
203,4131,43.1265337,-89.3005071,,blood donation,NA,other
116,2489,43.2744601,-89.7193286,,bowling alley,public drinking space,other
79,1787,43.539666,-89.4631209,,burial site,NA,other
64,1562,43.0763707,-89.3838456,,career homeless shelter,NA,other
6,104,43.0725942,-89.4046935,,chemistry daniels building,NA,other
15,275,43.0023673,-89.4239343,,city hall,NA,other
80,1812,43.0385073,-89.3965539,,client,NA,other
58,1451,42.9870627,-89.5329872,,coffee shop / caf�,cafe ,cafe 
37,918,43.8432217,-88.8409595,,college,NA,other
29,695,43.538927,-89.45734,,columbia co. courthouse,NA,other
117,2515,41.7919425,-87.6028399,,conference,NA,other
119,2606,42.690282,-89.0228993,,conference,NA,other
166,3234,43.6616778,-89.7797171,,conference,NA,other
34,878,43.0397565,-87.9172488,,convention,NA,other
16,320,32.7068214,-117.1628713,,convention center,NA,other
32,804,43.0748173,-89.3810084,,county bldg.,NA,other
110,2411,43.0466853,-87.8994408,,county clare irish inn and pub,public drinking space,other
119,2603,43.0737803,-89.389131,,court,NA,other
223,4547,43.0226475,-88.2292282,,court,NA,other
223,4560,43.0711745,-89.3839505,,court,NA,other
232,4798,43.0723036,-89.3823962,,court,NA,other
237,4878,43.0235904,-88.2269117,,court alc. Download,NA,other
39,972,43.0711745,-89.3839505,,courthouse,NA,other
79,1796,43.0954612,-89.5138705,,courthouse,NA,other
128,2664,42.6556622,-83.3260806,,courthouse,NA,other
