subid,type,n_home_locations,n_work_locations,n_home_zone,n_work_zones,time_at_all_homes,time_at_all_workplaces,more_than_two_work,distant_work,eliminate_observations_temporal,combine_workplaces,n_school_locations,home_workplace,missing_location,notes
1,1,1,7,1,1,,,,NO,,,,,,
2,2,1,1,1,1,,,,,YES,,,,,only one date for work activity 
3,1,2,2,1,1,,,,,,,,,,
5,1,1,2,1,2,,,,,,,,,,
6,0,2,2,1,1,YES,YES,,YES,,,,,,"time for 2 home/work both overlaps, work locations far away from each other"
7,1,1,3,1,1,,,,NO,,,,,,3 work locations close to each other
9,2,1,2,1,2,,,,,,,,,,2 work locations time overlaps
10,0,1,2,1,1,,,,,,,YES,,,"school locations and work locations are separated; 3 different school locations, for working or anything else?"
11,0,1,2,1,1,,,,,,,YES,YES,,the second work location is concealed by home; multiple schools
15,2,1,2,1,2,YES,,,YES,,,,,,"time for 2 work locations overlaps, work locations far away to each other"
16,1,1,2,1,2,YES,,,NO,,,,,,"time for 2 work locations overlaps, work locations close to each other"
17,0,1,2,0,0,,,,,,,,,YES,locations without any lat/lon
18,1,1,2,1,1,,,,,,,,YES,,1 work location isn't detected - 200m as distance needed or use daily time instead of exact time (including dates) for stay points detection 
19,0,1,7,1,4,,,,NO,,,YES,,,4 work locations are close and belong to education areas; 3 school detected as well
20,0,1,6,1,4,,YES,,YES,,,,,,"2-3 work locations away from each other, time overlaps"
21,2,1,7,1,4,,,,YES,YES,YES,,,,some work places are reported but no footprint there. Long-distance work activity zones belong to education areas; some work places only have footprints for specific dates
23,1,1,4,1,2,,,,NO,,,,,,multiple work places close to each other
24,0,1,0,1,0,,,,,,,,,YES,locations without any lat/lon
25,1,1,2,1,1,,,,NO,,,,,,2 work locations close to each other
26,2,1,1,0,1,,,,,,,,YES,,home activity zone is concealed by home of family member
27,2,2,3,1,2,NO,NO,,,,,,YES,,this person might have moved for home/work; 1 home activity zone is concealed by work/other activity zones 
28,0,1,7,1,6,YES,,YES,YES,,,,,,multiple scattered work locations with time overlapping
29,,2,4,1,2,,,,,,,,,,
30,,2,2,1,1,,,,,,,,,,
