name_first,name_last,role,role_term,contribution_degree
John J,Curtin,conceptualization,,
John J,Curtin,data curation,,
John J,Curtin,formal analysis,,
John J,Curtin,funding acquisition,,
John J,Curtin,investigation,,
John J,Curtin,supervision,,
John J,Curtin,writing - original draft,,
John J,Curtin,writing - review & editing,,
Kendra,Wyant,conceptualization,,
Kendra,Wyant,data curation,,
Kendra,Wyant,formal analysis,,
Kendra,Wyant,writing - original draft,,
Kendra,Wyant,writing - review & editing,,
Sarah J,Sant'Ana,conceptualization,,
Sarah J,Sant'Ana,data curation,,
Sarah J,Sant'Ana,investigation,,
Sarah J,Sant'Ana,writing - original draft,,
Sarah J,Sant'Ana,writing - review & editing,,
Gaylen E,Fronk,conceptualization,,
Gaylen E,Fronk,writing - original draft,,
Gaylen E,Fronk,writing - review & editing,,
Xiaojin ,Zhu,formal analysis,Confirm whether he publishes as Xiaojin  or Xiaojin  Jerry,
Xiaojin ,Zhu,conceptualization,,
Candace,Lightheart,investigation,,
Jill,Nagler,investigation,,
Kerry,Keiser,investigation,,
Megan,Schultz,investigation,,
Susan E,Wanta,project administration,,
Susan E,Wanta,data curation,,
Chris,Gioia,clinical supervision,,
