algorithm,feature_set,hp1,hp2,hp3,resample,n_feats,feature_fun_type,n_jobs,id,bal_accuracy
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample01,0.611713321421481
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample02,0.6104496826473993
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample03,0.523424961104731
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample04,0.6719460345270281
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample05,0.6492293785310734
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample06,0.5372295435322365
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample07,0.5653311491820808
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample08,0.6523889081419948
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample09,0.5935930404333315
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,Resample10,0.5525049044007847
