algorithm,feature_set,hp1,hp2,hp3,resample,n_feats,feature_fun_type,accuracy,bal_accuracy,sens,spec,roc_auc,n_jobs
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,down_1,2750,perc,0.6764631345573501,0.5227605233200678,0.6935986630451939,0.3519223835949417,0.5265209658439067,1
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,down_1,2750,raw,0.6544212804655087,0.5169365591332958,0.6699049672805767,0.3639681509860149,0.5015124842747166,1
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,down_1,5500,perc_raw,0.6794168284437223,0.5198820987025183,0.6974463836458172,0.3423178137592195,0.5184419857964595,1
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,smote_1,2750,perc,0.7776092311794977,0.49937752923396583,0.8092189992674319,0.1895360592004997,0.4896655337494429,1
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,smote_1,2750,raw,0.792920414802999,0.5017326264319999,0.8256647830385077,0.1778004698254922,0.4817096175082172,1
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,smote_1,5500,perc_raw,0.7985743413998154,0.4963044958392015,0.8333921576946328,0.15921683398377015,0.4778270767877788,1
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,up_1,2750,perc,0.7832090160057857,0.5090602981030606,0.8147055369155735,0.2034150592905478,0.5118917610130729,1
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,up_1,2750,raw,0.7863085162964816,0.5047802784982267,0.8183917720655777,0.19116878493087563,0.4850801198355424,1
glmnet,feat_all,0.5,1.2340980408667956e-4,NA,up_1,5500,perc_raw,0.8066830774488287,0.5014080101307126,0.8420175841630155,0.16079843609840969,0.4746959314779812,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,down_1,2750,perc,0.6764631345573501,0.5227605233200678,0.6935986630451939,0.3519223835949417,0.5265209658439067,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,down_1,2750,raw,0.6546770441015051,0.516368892972081,0.6702189103204658,0.3625188756236961,0.5014083235860298,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,down_1,5500,perc_raw,0.6794168284437223,0.5198820987025183,0.6974463836458172,0.3423178137592195,0.5184419857964595,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,smote_1,2750,perc,0.776957008593394,0.4999143261295439,0.8084984020089927,0.19133025025009495,0.48950462276218937,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,smote_1,2750,raw,0.7925083167632512,0.5024265849575464,0.825118285940743,0.17973488397434997,0.4816003927160951,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,smote_1,5500,perc_raw,0.7981574299702077,0.49690416901264206,0.8327886878845965,0.1610196501406876,0.4774317364986732,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,up_1,2750,perc,0.7829903194310239,0.5106203823388069,0.8143276041737,0.20691316050391387,0.512488952698187,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,up_1,2750,raw,0.7859403094706024,0.5053018125010791,0.8179162415045667,0.1926873834975916,0.4862316188100818,1
glmnet,feat_all,0.5,1.3791280933656192e-4,NA,up_1,5500,perc_raw,0.805609818266203,0.5029620323681819,0.8406192683665571,0.1653047963698068,0.47475904761292936,1
glmnet,feat_all,0.5,1.541201942573688e-4,NA,down_1,2750,perc,0.6764631345573501,0.5227605233200678,0.6935986630451939,0.3519223835949417,0.5265209658439067,1
glmnet,feat_all,0.5,1.541201942573688e-4,NA,down_1,2750,raw,0.6553426304903359,0.5182711151201339,0.6708087385203645,0.3657334917199033,0.5013346783374899,1
glmnet,feat_all,0.5,1.541201942573688e-4,NA,down_1,5500,perc_raw,0.6794168284437223,0.5198820987025183,0.6974463836458172,0.3423178137592195,0.5184419857964595,1
glmnet,feat_all,0.5,1.541201942573688e-4,NA,smote_1,2750,perc,0.7764199718583377,0.5009480741706248,0.8077766928912206,0.19411945545002915,0.48948757845676993,1
glmnet,feat_all,0.5,1.541201942573688e-4,NA,smote_1,2750,raw,0.7922113980333405,0.5014859347874733,0.824852214794214,0.1781196547807325,0.48158103549275033,1
glmnet,feat_all,0.5,1.541201942573688e-4,NA,smote_1,5500,perc_raw,0.7978760386661867,0.4967494399472333,0.8324436422274442,0.16105523766702234,0.4768938367854352,1
glmnet,feat_all,0.5,1.541201942573688e-4,NA,up_1,2750,perc,0.781990677835204,0.5097116682103715,0.8132883103395506,0.20613502608119236,0.5131343615092754,1
