job_num,n_fold,n_repeat,algorithm,rec,accuracy,sens,spec,bal_accuracy,roc_auc
1,1,1,glmnet,rec_active,0.6069057104913679,0.6231884057971014,0.6063926940639269,0.6147905499305142,0.6165111508172855
2,2,1,glmnet,rec_active,0.7443781551170262,0.4893617021276595,0.75,0.6196808510638298,0.7019130972815456
3,3,1,glmnet,rec_active,0.5966019417475729,0.3422818791946309,0.6164311878597593,0.4793565335271951,0.5054734335654758
4,4,1,glmnet,rec_active,0.7944862155388471,0.6293706293706294,0.8072354211663066,0.718303025268468,0.7515405760546149
5,5,1,glmnet,rec_active,0.7280481685900653,0.5508474576271186,0.7392,0.6450237288135593,0.6988248587570621
6,6,1,glmnet,rec_active,0.800997506234414,0.1973684210526316,0.8247796785899429,0.5110740498212872,0.6338333196911408
7,7,1,glmnet,rec_active,0.7768347478781827,0.391304347826087,0.7953950811093669,0.5933497144677269,0.629416649602985
8,8,1,glmnet,rec_active,0.7151515151515152,0.6310679611650486,0.7197655833777304,0.6754167722713895,0.7276536096125298
9,9,1,glmnet,rec_active,0.8056660039761432,0.3129251700680272,0.8445040214477212,0.5787145957578742,0.6406230052342653
10,10,1,glmnet,rec_active,0.7067812798471824,0.3764705882352941,0.7207565953210553,0.5486135917781747,0.5806517729042837
11,1,2,glmnet,rec_active,0.6964364276286845,0.5769230769230769,0.6992345790184602,0.6380788279707685,0.6381394382294877
12,2,2,glmnet,rec_active,0.656140350877193,0.2307692307692308,0.6734480959833072,0.452108663376269,0.4977127723606597
13,3,2,glmnet,rec_active,0.8264379414732593,0.4690265486725664,0.8480470840021401,0.6585368163373533,0.6498529808662055
14,4,2,glmnet,rec_active,0.8048180924287119,0.21428571428571427,0.8258655804480651,0.5200756473668897,0.544548297934245
15,5,2,glmnet,rec_active,0.7973098330241187,0.5234899328859061,0.8176382660687593,0.6705640994773328,0.7473874994565999
16,6,2,glmnet,rec_active,0.6161825726141079,0.38323353293413176,0.6382737081203862,0.5107536205272589,0.522114204300088
17,7,2,glmnet,rec_active,0.7635810517166449,0.26666666666666666,0.7734929078014184,0.5200797872340426,0.5564223798266351
18,8,2,glmnet,rec_active,0.7591815320041972,0.5958904109589042,0.7727272727272727,0.6843088418430885,0.7527669676214197
19,9,2,glmnet,rec_active,0.7097082735533238,0.41025641025641024,0.7274569402228976,0.568856675239654,0.6328012019501381
20,10,2,glmnet,rec_active,0.6285266457680251,0.6413043478260869,0.6278814489571899,0.6345928983916385,0.6475027442371021
21,1,3,glmnet,rec_active,0.7289325842696629,0.46017699115044247,0.7439446366782007,0.6020608139143215,0.6794605400723538
22,2,3,glmnet,rec_active,0.8893698893698894,0.3333333333333333,0.9189463019250254,0.6261398176291794,0.7295435904858397
