algorithm,feature_set,hp1,hp2,hp3,resample,n_feats,feature_fun_type,n_jobs,job_num,n_repeat,n_fold,accuracy,sens,spec,bal_accuracy,roc_auc,id
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,2704,1,1,0.7290836653386454,0.2898550724637681,0.7429223744292237,0.5163887234464959,0.5068824035470849,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,3064,1,2,0.6530518586507572,0.6170212765957447,0.6538461538461539,0.6354337152209493,0.651705520737695,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,3424,1,3,0.6422330097087379,0.24161073825503357,0.673469387755102,0.4575400630050678,0.45950150839891973,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,3784,1,4,0.5804511278195489,0.7202797202797203,0.5696544276457883,0.6449670739627543,0.717017323928771,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,4144,1,5,0.6266934269944807,0.4661016949152542,0.6368,0.5514508474576272,0.553825988700565,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,4504,1,6,0.7331670822942643,0.40789473684210525,0.7459823742871955,0.5769385555646503,0.5348489809282148,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,4864,1,7,0.7623564653020469,0.42391304347826086,0.7786499215070644,0.6012814824926627,0.6401297977384934,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,5224,1,8,0.7116161616161616,0.6601941747572816,0.7144379328716036,0.6873160538144426,0.7201897264277327,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,5584,1,9,0.6640159045725647,0.4965986394557823,0.6772117962466488,0.5869052178512155,0.5926355528806697,NA
knn,feat_all_passive,95,NA,NA,down_1,122,raw,10,5944,1,10,0.6800382043935053,0.4235294117647059,0.6908909905425585,0.5572102011536322,0.5742980118876819,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,1014,1,4,0.6681704260651629,0.6853146853146853,0.6668466522678186,0.676080668791252,0.7182577142080382,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,1230,1,5,0.706472654290015,0.6101694915254238,0.7125333333333334,0.6613514124293786,0.7025875706214689,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,1446,1,6,0.7800498753117207,0.3947368421052632,0.7952306894764126,0.5949837657908379,0.6027461733649833,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,1662,1,7,0.762855716425362,0.4782608695652174,0.7765567765567766,0.627408823060997,0.7069170477555571,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,1878,1,8,0.7237373737373738,0.7766990291262136,0.7208311134789558,0.7487650713025846,0.8012605324547021,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,2094,1,9,0.7370775347912525,0.35374149659863946,0.7672922252010724,0.560516860899856,0.5977075012310554,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,2310,1,10,0.6934097421203438,0.17647058823529413,0.7152812344449975,0.4458759113401458,0.3916054226568676,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,366,1,1,0.7631695440460381,0.391304347826087,0.7748858447488585,0.5830950962874727,0.6257163655615114,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,582,1,2,0.7347407067462138,0.6382978723404256,0.7368667917448405,0.6875823320426331,0.718149974052932,NA
random_forest,feat_all_passive,20,2,10000,down_1,244,perc_raw,10,798,1,3,0.6927184466019417,0.2751677852348993,0.7252747252747253,0.5002212552548123,0.5170805544726925,NA
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.611713321421481,NA,Resample01
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.6104496826473993,NA,Resample02
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.523424961104731,NA,Resample03
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.6719460345270281,NA,Resample04
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.6492293785310734,NA,Resample05
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.5372295435322365,NA,Resample06
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.5653311491820808,NA,Resample07
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.6523889081419948,NA,Resample08
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.5935930404333315,NA,Resample09
glmnet,feat_all,0.9,0.03986636782372493,NA,up_1,2750,raw,1,NA,NA,NA,NA,NA,NA,0.5525049044007847,NA,Resample10
