job_num,n_fold,n_repeat,algorithm,rec,accuracy,sens,spec,bal_accuracy,roc_auc
1,1,1,random_forest,rec_best,0.7631695440460381,0.391304347826087,0.7748858447488585,0.5830950962874727,0.6257163655615114
10,10,1,random_forest,rec_best,0.6934097421203438,0.17647058823529413,0.7152812344449975,0.4458759113401458,0.3916054226568676
100,10,10,random_forest,rec_best,0.751716851558373,0.5795454545454546,0.7601108033240997,0.6698281289347772,0.7204199194157643
11,1,2,random_forest,rec_best,0.7452705675318961,0.36538461538461536,0.7541647906348492,0.5597747030097323,0.5710482111315069
12,2,2,random_forest,rec_best,0.6155388471177945,0.5,0.6202399582681273,0.5601199791340636,0.5951974907373968
13,3,2,random_forest,rec_best,0.7966700302724521,0.48672566371681414,0.8154093097913323,0.6510674867540732,0.7064399589009314
14,4,2,random_forest,rec_best,0.7266470009832842,0.4428571428571429,0.7367617107942973,0.5898094268257201,0.5799279895257492
15,5,2,random_forest,rec_best,0.7453617810760668,0.7516778523489933,0.7448928749377179,0.7482853636433556,0.8074908959581064
16,6,2,random_forest,rec_best,0.6535269709543569,0.2395209580838323,0.6927881885292447,0.46615457330653853,0.4564499620860494
17,7,2,random_forest,rec_best,0.6366797044763146,0.3333333333333333,0.6427304964539007,0.48803191489361697,0.535332939322301
18,8,2,random_forest,rec_best,0.7077649527806925,0.5342465753424658,0.7221590909090909,0.6282028331257783,0.680456102117061
19,9,2,random_forest,rec_best,0.7441415590626494,0.6239316239316239,0.7512664640324215,0.6875990439820228,0.7644485144485145
2,2,1,random_forest,rec_best,0.7347407067462138,0.6382978723404256,0.7368667917448405,0.6875823320426331,0.718149974052932
20,10,2,random_forest,rec_best,0.6478578892371996,0.30434782608695654,0.6652030735455543,0.4847754498162554,0.505649548990598
21,1,3,random_forest,rec_best,0.704119850187266,0.7522123893805309,0.7014335145823035,0.7268229519814172,0.7863245246042196
22,2,3,random_forest,rec_best,0.7580567580567581,0.37142857142857144,0.7786220871327254,0.5750253292806484,0.6595334587735804
23,3,3,random_forest,rec_best,0.6828820559889858,0.7604166666666666,0.6793086893903024,0.7198626780284845,0.7329322691630661
24,4,3,random_forest,rec_best,0.7093525179856115,0.3048780487804878,0.72591113330005,0.5153945910402689,0.5092057036396624
25,5,3,random_forest,rec_best,0.7216216216216216,0.4819277108433735,0.7328805885681947,0.607404149705784,0.667662159674351
26,6,3,random_forest,rec_best,0.6813559322033899,0.6326530612244898,0.6837824097610574,0.6582177354927736,0.7182231306350705
27,7,3,random_forest,rec_best,0.7637172516065249,0.35443037974683544,0.7983914209115281,0.5764109003291817,0.6155920181898394
28,8,3,random_forest,rec_best,0.6893905191873589,0.3333333333333333,0.6937842778793418,0.5135588056063376,0.6505179768433882
29,9,3,random_forest,rec_best,0.8051631758402338,0.33070866141732286,0.8364485981308412,0.583578629774082,0.6255324976901252
3,3,1,random_forest,rec_best,0.6927184466019417,0.2751677852348993,0.7252747252747253,0.5002212552548123,0.5170805544726925
30,10,3,random_forest,rec_best,0.749868073878628,0.34285714285714286,0.7823361823361823,0.5625966625966625,0.6091290191290192
31,1,4,random_forest,rec_best,0.6857410881801126,0.7529411764705882,0.6829506595017099,0.717945917986149,0.737604528865772
32,2,4,random_forest,rec_best,0.7754010695187166,0.17482517482517482,0.8202716823406478,0.4975484285829113,0.5486258777794828
33,3,4,random_forest,rec_best,0.7669773635153129,0.20408163265306123,0.779491833030853,0.4917867328419571,0.5800353716804326
34,4,4,random_forest,rec_best,0.7540821375556656,0.5813953488372093,0.7578361981799798,0.6696157735085946,0.6542020363533755
35,5,4,random_forest,rec_best,0.7394296951819076,0.5968992248062015,0.7490813648293964,0.6729902948177989,0.7188427028016847
36,6,4,random_forest,rec_best,0.6840521564694082,0.7956989247311828,0.67859021567596,0.7371445702035714,0.8236553483452399
37,7,4,random_forest,rec_best,0.6616465863453815,0.2692307692307692,0.6721649484536083,0.47069785884218873,0.4635656225218081
38,8,4,random_forest,rec_best,0.7133670188332568,0.6320754716981132,0.7175277643650411,0.6748016180315771,0.724554266920547
39,9,4,random_forest,rec_best,0.8088930936613056,0.1834862385321101,0.8428927680798005,0.5131895033059553,0.6293097531400855
4,4,1,random_forest,rec_best,0.6681704260651629,0.6853146853146853,0.6668466522678186,0.676080668791252,0.7182577142080382
40,10,4,random_forest,rec_best,0.7198228128460686,0.5681818181818182,0.7408575031525851,0.6545196606672017,0.7029132752493408
41,1,5,random_forest,rec_best,0.683392539964476,0.5806451612903226,0.6878184344603984,0.6342317978753604,0.7185923391454626
42,2,5,random_forest,rec_best,0.6595017098192477,0.5394736842105263,0.6641298833079655,0.601801783759246,0.654490106544901
43,3,5,random_forest,rec_best,0.6430939226519337,0.49230769230769234,0.6547619047619048,0.5735347985347985,0.5911813186813187
44,4,5,random_forest,rec_best,0.6835034927458356,0.6587301587301587,0.6853025936599424,0.6720163761950506,0.7054297607611728
45,5,5,random_forest,rec_best,0.723963133640553,0.22,0.7358490566037735,0.4779245283018867,0.49554245283018866
46,6,5,random_forest,rec_best,0.743963782696177,0.37606837606837606,0.7669695350080171,0.5715189555381965,0.6047865075123225
47,7,5,random_forest,rec_best,0.6968706212050444,0.6043956043956044,0.7009756097560975,0.6526856070758509,0.7265264004288394
48,8,5,random_forest,rec_best,0.8116406966086159,0.22388059701492535,0.8302600472813239,0.5270703221481247,0.6043364736600685
49,9,5,random_forest,rec_best,0.7262621584066697,0.712,0.7271386430678466,0.7195693215339233,0.7660570304818093
5,5,1,random_forest,rec_best,0.706472654290015,0.6101694915254238,0.7125333333333334,0.6613514124293786,0.7025875706214689
50,10,5,random_forest,rec_best,0.6604060913705584,0.2987012987012987,0.691079295154185,0.49489029692774184,0.4795540362720979
51,1,6,random_forest,rec_best,0.7699451245251161,0.8,0.7687582272926722,0.7843791136463361,0.8419067817268783
52,2,6,random_forest,rec_best,0.5844027640671273,0.686046511627907,0.5798969072164949,0.6329717094222009,0.6739061376168785
53,3,6,random_forest,rec_best,0.7600758653390233,0.375,0.773686794305351,0.5743433971526755,0.6325069546719031
54,4,6,random_forest,rec_best,0.5914811229428848,0.363013698630137,0.6088541666666667,0.48593393264840185,0.4940193350456621
55,5,6,random_forest,rec_best,0.7348484848484849,0.3442622950819672,0.7464651389566065,0.5453637170192869,0.6279903445740183
56,6,6,random_forest,rec_best,0.7147540983606557,0.3630573248407643,0.7477585176329946,0.5554079212368794,0.591606671717537
57,7,6,random_forest,rec_best,0.8274253731343284,0.12244897959183672,0.8439140811455847,0.4831815303687107,0.5182796746383518
58,8,6,random_forest,rec_best,0.6755625327053898,0.5966386554621849,0.6808035714285714,0.6387211134453781,0.6628713985594238
59,9,6,random_forest,rec_best,0.816452686638136,0.13131313131313133,0.8502994011976048,0.4908062662553681,0.6429665920683885
6,6,1,random_forest,rec_best,0.7800498753117207,0.3947368421052632,0.7952306894764126,0.5949837657908379,0.6027461733649833
60,10,6,random_forest,rec_best,0.7769633507853403,0.6133333333333333,0.7909090909090909,0.7021212121212121,0.7676950757575758
61,1,7,random_forest,rec_best,0.7378917378917379,0.3445378151260504,0.7614494212380473,0.5529936181820488,0.5783855565376629
62,2,7,random_forest,rec_best,0.708122992198256,0.3707865168539326,0.722488038277512,0.5466372775657222,0.5484812644481479
63,3,7,random_forest,rec_best,0.7238046795523907,0.5,0.7378378378378379,0.6189189189189189,0.64106477166822
