algorithm,resample,penalty,mixture,n,accuracy,sens,spec,bal_accuracy,roc_auc
glmnet,smote,0.006737946999085467,0,10,0.759587007259151,0.7891350052613688,0.2563690613193581,0.5227520332903635,0.49503508079255215
glmnet,smote,0.006737946999085467,0.05,10,0.7513035985506193,0.7807842648619121,0.25677465084232826,0.5187794578521202,0.5021883569609326
glmnet,smote,0.006737946999085467,0.1,10,0.7492854163410306,0.7800204554273447,0.24933456826168132,0.514677511844513,0.5030100398184334
glmnet,smote,0.006737946999085467,0.2,10,0.744189782795873,0.7728055057396476,0.26759360341694244,0.520199554578295,0.5059360907918892
glmnet,smote,0.006737946999085467,0.3,10,0.7484483416862815,0.7775175442673273,0.26258231273315624,0.5200499285002418,0.5200698181096477
glmnet,smote,0.006737946999085467,0.4,10,0.745059612487257,0.7739921115943041,0.2716755981404263,0.5228338548673652,0.5267710771843764
glmnet,smote,0.006737946999085467,0.5,10,0.7407790522835922,0.7686175260410648,0.284109595755824,0.5263635608984444,0.5298490454940367
glmnet,smote,0.006737946999085467,0.6,10,0.7418707705753923,0.7690740707219997,0.28857852180888893,0.5288262962654443,0.5317531814245026
glmnet,smote,0.006737946999085467,0.7,10,0.7453198204160939,0.7723615320638093,0.29175904451515616,0.5320602882894827,0.5310108253998257
glmnet,smote,0.006737946999085467,0.8,10,0.7573619336692797,0.7849405571230068,0.29165831191442354,0.5382994345187152,0.5304041417199967
glmnet,smote,0.006737946999085467,0.9,10,0.76530596516931515,0.7942967245206876,0.2774753826812282,0.5358860536009579,0.5329566952491885
glmnet,smote,0.006737946999085467,1,10,0.7698918046442919,0.7994059873273065,0.2558746594898227,0.5276403234085647,0.534987961877585
glmnet,smote,0.0074541086721749295,0,10,0.759587007259151,0.7891350052613688,0.2563690613193581,0.5227520332903635,0.49503508079255215
glmnet,smote,0.0074541086721749295,0.05,10,0.7514145427734995,0.7808371950869406,0.25985157391925134,0.520344384503096,0.5008678027139543
glmnet,smote,0.0074541086721749295,0.1,10,0.7536827619058276,0.7847660661081977,0.2483193398352854,0.5165427029717415,0.5017549882310752
glmnet,smote,0.0074541086721749295,0.2,10,0.7487793031888941,0.7779814791909546,0.26316521302453955,0.5205733461077471,0.5088047344104414
glmnet,smote,0.0074541086721749295,0.3,10,0.7504049397909265,0.7796928685768196,0.2627117823509526,0.5212023254638861,0.5208759205549365
glmnet,smote,0.0074541086721749295,0.4,10,0.7454154396318668,0.7734250663360643,0.2836241588626201,0.5285246125993422,0.527185996402478
glmnet,smote,0.0074541086721749295,0.5,10,0.7399948653618131,0.7674862809407619,0.2884009673887899,0.5279436241647758,0.5312881946765715
glmnet,smote,0.0074541086721749295,0.6,10,0.7421951267190767,0.7693358574697428,0.2897260774821891,0.529530967475966,0.5313303654857967
glmnet,smote,0.0074541086721749295,0.7,10,0.7493353009054996,0.7767097882424674,0.2889606119832211,0.5328352001128442,0.5300415286730067
glmnet,smote,0.0074541086721749295,0.8,10,0.761116127334995,0.789945315920397,0.27770692600654656,0.5338261209634718,0.5289323674810441
glmnet,smote,0.0074541086721749295,0.9,10,0.7634493524381468,0.7924345626219312,0.2574371594898227,0.524935861055877,0.5325262938241194
glmnet,smote,0.0074541086721749295,1,10,0.7670914139395576,0.796486958123936,0.2570802878049998,0.5267836229644679,0.5340184649056631
glmnet,smote,0.008246389605637307,0,10,0.759587007259151,0.7891350052613688,0.2563690613193581,0.5227520332903635,0.49503508079255215
glmnet,smote,0.008246389605637307,0.05,10,0.7531965053143888,0.7826834490901179,0.26042102281284946,0.5215522359514837,0.4997576132459882
glmnet,smote,0.008246389605637307,0.1,10,0.7515019240712731,0.7825322598570835,0.24886661140888947,0.5156994356329865,0.5003118093020356
glmnet,smote,0.008246389605637307,0.2,10,0.7550258249734587,0.7845809691828372,0.26338466527173054,0.5239828172272839,0.5106004354069558
glmnet,smote,0.008246389605637307,0.3,10,0.7497571331703028,0.7790668006759018,0.26409625652796814,0.521581528601935,0.5224485022589759
glmnet,smote,0.008246389605637307,0.4,10,0.7433204546309855,0.7709529562001024,0.28734785868262663,0.5291504074413645,0.5288829434994993
glmnet,smote,0.008246389605637307,0.5,10,0.7420129126845475,0.7692572692440136,0.29113103856801975,0.5301941539060167,0.5313736065270431
glmnet,smote,0.008246389605637307,0.6,10,0.7464182956260244,0.7735471617314106,0.29056856832468,0.5320578650280453,0.5295067548353888
glmnet,smote,0.008246389605637307,0.7,10,0.755247351780264,0.7834815116745811,0.281622548995927,0.532552030335254,0.5284833100052534
glmnet,smote,0.008246389605637307,0.8,10,0.7628508765614878,0.792241826156149,0.252868631571041,0.5225552288635951,0.5284963581999554
glmnet,smote,0.008246389605637307,0.9,10,0.7642958868673838,0.7938529834372127,0.253526988312614,0.5236899858749133,0.5329937978803582
glmnet,smote,0.008246389605637307,1,10,0.7594516880609942,0.7885329110899068,0.25583950051487875,0.5221862058023927,0.5363166694660526
glmnet,smote,0.009122880349438393,0,10,0.759587007259151,0.7891350052613688,0.2563690613193581,0.5227520332903635,0.49503508079255215
glmnet,smote,0.009122880349438393,0.05,10,0.755954337257196,0.7855685609174958,0.2606404750600405,0.5231045179887682,0.4986729012567188
glmnet,smote,0.009122880349438393,0.1,10,0.7529842070162032,0.7839764259755971,0.24964786140888945,0.5168121436922433,0.49862781349820545
glmnet,smote,0.009122880349438393,0.2,10,0.7575766784344716,0.7876925440394786,0.25865358673411576,0.5231730653867972,0.5119920380669707
glmnet,smote,0.009122880349438393,0.3,10,0.7478094593847385,0.7762534471804894,0.2774520462815465,0.526852746731018,0.523845258504431
glmnet,smote,0.009122880349438393,0.4,10,0.7404886311184441,0.7679530267543099,0.28775693471622543,0.5278549807352676,0.5298612582787876
