algorithm,resample,penalty,mixture,n,accuracy,sens,spec,bal_accuracy,roc_auc
glmnet,up,0.006737946999085467,0,10,0.760150805313802,0.7896689027730772,0.2492997982681335,0.5194843505206054,0.483982643029415
glmnet,up,0.006737946999085467,0.05,10,0.7526191056918313,0.7815944535546259,0.2588058761170018,0.5202001648358139,0.4861521722300772
glmnet,up,0.006737946999085467,0.1,10,0.7369055208489054,0.7652576209045496,0.2640891592802629,0.5146733900924062,0.4911088551040769
glmnet,up,0.006737946999085467,0.2,10,0.7475407561980624,0.7759359432478525,0.2691057188995993,0.5225208310737259,0.49657321563932305
glmnet,up,0.006737946999085467,0.3,10,0.7559282779216367,0.7840390316403713,0.26680023416951176,0.5254196329049415,0.49887178563753776
glmnet,up,0.006737946999085467,0.4,10,0.7486398074769839,0.7762249238058104,0.268437241594755,0.5223310827002827,0.5094440042309973
glmnet,up,0.006737946999085467,0.5,10,0.7432976014161062,0.7707040617136615,0.27886777704840676,0.5247859193810341,0.5156443084220426
glmnet,up,0.006737946999085467,0.6,10,0.733925263963265,0.7613957864674928,0.2748760104181537,0.5181358984428233,0.5208709832169074
glmnet,up,0.006737946999085467,0.7,10,0.7388593221662426,0.7666672529505841,0.2732903856592164,0.5199788193049002,0.5245707301951389
glmnet,up,0.006737946999085467,0.8,10,0.7539570055596349,0.7837837886683244,0.23834819572936405,0.5110659921988443,0.525637451018034
glmnet,up,0.006737946999085467,0.9,10,0.758230618146064,0.7883479148739878,0.23379969179883764,0.5110738033364127,0.5232291314876885
glmnet,up,0.006737946999085467,1,10,0.7530609087117928,0.7808024154685395,0.2545207564873944,0.517661585977967,0.5250012845231066
glmnet,up,0.0074541086721749295,0,10,0.760150805313802,0.7896689027730772,0.2492997982681335,0.5194843505206054,0.483982643029415
glmnet,up,0.0074541086721749295,0.05,10,0.7510354596305471,0.7799753496110569,0.2588058761170018,0.5193906128640293,0.4860043740325164
glmnet,up,0.0074541086721749295,0.1,10,0.7446375812942945,0.7735822987252634,0.260935106921853,0.5172587028235582,0.4911146257943366
glmnet,up,0.0074541086721749295,0.2,10,0.7515182852010358,0.7801110236815999,0.267351332934687,0.5237311783081434,0.4982616656826484
glmnet,up,0.0074541086721749295,0.3,10,0.758490413321653,0.7867881407371244,0.2656766386638938,0.5262323897005091,0.50173329516371
glmnet,up,0.0074541086721749295,0.4,10,0.7413407359224367,0.7685952209766065,0.2770564419929237,0.522825831484765,0.5123856933495151
glmnet,up,0.0074541086721749295,0.5,10,0.7361867459628606,0.7635457951523646,0.28009105643514093,0.5218184257937528,0.5186665805938278
