algorithm,resample,neighbors,n,accuracy,sens,spec,bal_accuracy,roc_auc
knn,up,5,10,0.9051990273261533,0.9498472182564699,0.03916695622034389,0.49450708723840686,0.4808056968951006
knn,up,10,10,0.881424134732582,0.9240154670305817,0.05668943640762814,0.4903524517191049,0.4746887479245456
knn,up,15,10,0.8573046116831496,0.8979778165407759,0.07064814082567226,0.4843129786832241,0.4642764423433582
knn,up,20,10,0.8349386590840535,0.8737890724833297,0.09701529655709248,0.48540218452021106,0.45658841356560387
knn,up,25,10,0.8156546238084592,0.8521959361142353,0.1092965170791976,0.4807462265967164,0.44847851497682367
knn,up,30,10,0.8078594378025737,0.8434802725694394,0.1157678041273957,0.47962403834841755,0.43944545927078693
knn,up,35,10,0.7964060398859036,0.8310042911042645,0.11864495754223361,0.47482462432324907,0.4364281618958773
knn,up,40,10,0.7899713694535481,0.8237570506418774,0.12352677860822346,0.47364191462505045,0.43034223141407213
knn,up,45,10,0.7860590526105342,0.8195035645166308,0.12408857636103245,0.4717960704388316,0.42950305120179755
knn,up,50,10,0.7828255908816039,0.8160792956741916,0.12390256445627054,0.469990930065231,0.42818840173509937
knn,up,55,10,0.7773746523678619,0.8098885354902758,0.13071812424760282,0.4703033298689393,0.42700498696214517
knn,up,60,10,0.7730115461021143,0.8047976093804905,0.1386980707140165,0.4717478400472535,0.42513610311216965
knn,up,65,10,0.769525351194141,0.8005814746771962,0.1484546568190596,0.4745180657481279,0.4256821835201328
knn,up,70,10,0.7667683017977928,0.7973990808048985,0.15635511819265668,0.4768770994987776,0.42580889995895976
knn,up,75,10,0.7638873290100838,0.7942445003046623,0.15732599197906447,0.4757852461418634,0.42828581429566803
