algorithm,resample,mtry,min_n,n,accuracy,sens,spec,bal_accuracy,roc_auc
random_forest,down,5,2,10,0.9509774352944986,1,0,0.5,0.5621416304844032
random_forest,down,5,10,10,0.9509774352944986,1,0,0.5,0.5555111624219266
random_forest,down,5,20,10,0.9509774352944986,1,0,0.5,0.5557653252132736
random_forest,down,10,2,10,0.9504457379529854,0.9994217081850534,0,0.4997108540925267,0.5643823047780867
random_forest,down,10,10,10,0.9504866377484863,0.9994661921708186,0,0.4997330960854093,0.565871523684998
random_forest,down,10,20,10,0.9504457379529854,0.9994217081850534,0,0.4997108540925267,0.5691327797798265
random_forest,down,20,2,10,0.9488915457239464,0.9977313167259787,0,0.49886565836298935,0.5775922419853936
random_forest,down,20,10,10,0.9484416479734352,0.9972419928825623,0,0.49862099644128116,0.5710050149626319
random_forest,down,20,20,10,0.9484416479734352,0.9972419928825623,0,0.49862099644128116,0.568775006152138
random_forest,down,50,2,10,0.9423448482218318,0.9905231842969063,0.001015228426395939,0.49576920636165117,0.5691011866557327
random_forest,down,50,10,10,0.942148486376416,0.9901893488399629,0.002811706852791878,0.4965005278463774,0.5716510243133484
random_forest,down,50,20,10,0.9420394380996678,0.9902441932364607,5.076142131979695e-4,0.49537590372482937,0.5775702202328459
