algorithm,resample,penalty,mixture,n,accuracy,sens,spec,bal_accuracy,roc_auc
glmnet,down,0.006737946999085467,0,10,0.7266311486086036,0.7548882418258048,0.26463382457505563,0.5097610332004302,0.4955231433940781
glmnet,down,0.006737946999085467,0.05,10,0.7186109848359944,0.7463044940311937,0.2720284580190228,0.5091664760251082,0.4990592108918382
glmnet,down,0.006737946999085467,0.1,10,0.7152597087533223,0.7426792160402038,0.2639512405758258,0.5033152283080148,0.49892155185105636
glmnet,down,0.006737946999085467,0.2,10,0.7110177448627504,0.7368027773939928,0.27519827629563726,0.506000526844815,0.5006756745902547
glmnet,down,0.006737946999085467,0.3,10,0.7132010200602626,0.7381971356373987,0.2894973735533446,0.5138472545953716,0.5033916853372055
glmnet,down,0.006737946999085467,0.4,10,0.7131275767330923,0.738196062622127,0.28596103534124134,0.5120785489816841,0.5113438377321888
glmnet,down,0.006737946999085467,0.5,10,0.7179927479295563,0.7434177816052081,0.29266026700019704,0.5180390243027025,0.5232009702962339
glmnet,down,0.006737946999085467,0.6,10,0.7235580637347674,0.7495412592238869,0.29423082943569756,0.5218860443297922,0.5290138065177663
glmnet,down,0.006737946999085467,0.7,10,0.7262236592665207,0.7521790042677164,0.29344957943569755,0.522814291851707,0.5288900889730893
glmnet,down,0.006737946999085467,0.8,10,0.7274971377995539,0.7536196252327101,0.2912331106781438,0.522426367955427,0.5268989662438398
glmnet,down,0.006737946999085467,0.9,10,0.7353900280059962,0.764271335522336,0.2678241262087215,0.5160477308655287,0.5269649247311933
glmnet,down,0.006737946999085467,1,10,0.7276548874847086,0.7546602677875918,0.2878268625436529,0.5212435651656223,0.5261476112904993
glmnet,down,0.0074541086721749295,0,10,0.7266311486086036,0.7548882418258048,0.26463382457505563,0.5097610332004302,0.4955231433940781
glmnet,down,0.0074541086721749295,0.05,10,0.716698063160961,0.744191978867309,0.27359095801902283,0.5088914684431659,0.4998715555763973
glmnet,down,0.0074541086721749295,0.1,10,0.7182661571219869,0.7460531276772902,0.2619207837230339,0.503986955700162,0.49960504512914505
glmnet,down,0.0074541086721749295,0.2,10,0.7059628667084032,0.7307222606256915,0.28774298758843236,0.5092326241070619,0.5020067216524726
glmnet,down,0.0074541086721749295,0.3,10,0.7151350387126537,0.7403160853689625,0.28696173758843235,0.5136389114786974,0.507099990295365
glmnet,down,0.0074541086721749295,0.4,10,0.7172334169366809,0.7425523141003646,0.28834041405902056,0.5154463640796926,0.5156346481170992
glmnet,down,0.0074541086721749295,0.5,10,0.7234417215005807,0.7491954507570869,0.2948201934707853,0.5220078221139361,0.5264701926478975
glmnet,down,0.0074541086721749295,0.6,10,0.7264194358085786,0.7524644466658451,0.29423082943569756,0.5233476380507713,0.5299628939367377
glmnet,down,0.0074541086721749295,0.7,10,0.7262046356010445,0.7519542433939234,0.29560731753093566,0.5237807804624295,0.5287557841999058
glmnet,down,0.0074541086721749295,0.8,10,0.7309353422642255,0.7572614430998325,0.2937917658026301,0.5255266044512312,0.5270978194325081
glmnet,down,0.0074541086721749295,0.9,10,0.7329091140826218,0.7608811770224642,0.28224310619847526,0.5215621416104698,0.5281253531742812
glmnet,down,0.0074541086721749295,1,10,0.7293249913957293,0.7567443901940102,0.2779415473797203,0.5173429687868653,0.527679965362063
glmnet,down,0.008246389605637307,0,10,0.7266311486086036,0.7548882418258048,0.26463382457505563,0.5097610332004302,0.4955231433940781
