algorithm,resample,mtry,min_n,n,accuracy,sens,spec,bal_accuracy,roc_auc
random_forest,down,2,2,10,0.9509774352944986,1,0,0.5,0.5414344572931895
random_forest,down,2,6.5,10,0.9509774352944986,1,0,0.5,0.5432677704409039
random_forest,down,2,11,10,0.9509774352944986,1,0,0.5,0.5463258984897581
random_forest,down,2,15.5,10,0.9509774352944986,1,0,0.5,0.5560396518418
random_forest,down,2,20,10,0.9509774352944986,1,0,0.5,0.5460614470339421
random_forest,down,7.333333333333333,2,10,0.9509774352944986,1,0,0.5,0.5387752111717015
random_forest,down,7.333333333333333,6.5,10,0.9509774352944986,1,0,0.5,0.5413905468839458
random_forest,down,7.333333333333333,11,10,0.9509774352944986,1,0,0.5,0.5444007769980147
random_forest,down,7.333333333333333,15.5,10,0.9509774352944986,1,0,0.5,0.55013948635195975
random_forest,down,7.333333333333333,20,10,0.9509774352944986,1,0,0.5,0.5532568420887487
random_forest,down,12.666666666666666,2,10,0.9509774352944986,1,0,0.5,0.5393770585461881
random_forest,down,12.666666666666666,6.5,10,0.9509774352944986,1,0,0.5,0.5441884343754511
random_forest,down,12.666666666666666,11,10,0.9509774352944986,1,0,0.5,0.5550562427702144
random_forest,down,12.666666666666666,15.5,10,0.9508547359079955,0.9998665480427046,0,0.4999332740213523,0.5490967318792722
random_forest,down,12.666666666666666,20,10,0.9509774352944986,1,0,0.5,0.5542441451545052
random_forest,down,18,2,10,0.9500776397934761,0.9990213523131672,0,0.4995106761565836,0.5474006136582461
random_forest,down,18,6.5,10,0.949954940406973,0.9988879003558719,0,0.49944395017793597,0.5495827643011995
random_forest,down,18,11,10,0.949791341224969,0.9987099644128113,0,0.4993549822064057,0.5491372928322078
random_forest,down,18,15.5,10,0.949750441429468,0.9986654804270463,0,0.49933274021352314,0.5526159752857012
random_forest,down,18,20,10,0.949914040611472,0.9988434163701068,0,0.4994217081850534,0.5518452299380002
random_forest,down,23.333333333333332,2,10,0.9491778442924537,0.9980427046263345,0,0.49902135231316724,0.5445663146057494
random_forest,down,23.333333333333332,6.5,10,0.9493005436789567,0.9981761565836299,0,0.49908807829181495,0.5424230597964763
random_forest,down,23.333333333333332,11,10,0.9489733453149485,0.9978202846975089,0,0.49891014234875447,0.5418733879403894
random_forest,down,23.333333333333332,15.5,10,0.9488915457239464,0.9977313167259787,0,0.49886565836298935,0.5578124963667594
random_forest,down,23.333333333333332,20,10,0.9488506459284455,0.9976868327402135,0,0.49884341637010676,0.5473560446956965
random_forest,down,28.666666666666664,2,10,0.9485970564895864,0.9974147486202565,0,0.49870737431012824,0.5444999723451283
random_forest,down,28.666666666666664,6.5,10,0.9488506459284455,0.9976868327402135,0,0.49884341637010676,0.5344139125182814
random_forest,down,28.666666666666664,11,10,0.9486461469509403,0.9974644128113879,0,0.49873220640569393,0.5469929963464203
random_forest,down,28.666666666666664,15.5,10,0.9486461469509403,0.9974644128113879,0,0.49873220640569393,0.5519420584388984
random_forest,down,28.666666666666664,20,10,0.9485234475644373,0.9973309608540926,0,0.4986654804270463,0.5572582999575487
random_forest,down,34,2,10,0.9482698581255782,0.9970143927483703,5.076142131979695e-4,0.4987610034807841,0.5476003197710956
random_forest,down,34,6.5,10,0.947939929539619,0.9966567941271272,5.076142131979695e-4,0.4985822041701626,0.5456149905703964
random_forest,down,34,11,10,0.947858129948617,0.9965678261555969,5.076142131979695e-4,0.49853772018439746,0.5468814253658778
random_forest,down,34,15.5,10,0.9476945307666129,0.9963898902125364,5.076142131979695e-4,0.4984487522128672,0.5505868008777624
random_forest,down,34,20,10,0.94674479148189294,0.9954203795946908,5.076142131979695e-4,0.49796399690394433,0.5556322900810252
random_forest,down,39.33333333333333,2,10,0.9476645518589157,0.9962633451957296,0.0015228426395939086,0.49889309391766173,0.551104814086518
random_forest,down,39.33333333333333,6.5,10,0.9475827522679138,0.9960854092526691,0.0025380710659898475,0.49931174015932944,0.548989256142007
random_forest,down,39.33333333333333,11,10,0.9474464017716557,0.9960767755770584,0.001015228426395939,0.49854600200172716,0.5531460576040959
random_forest,down,39.33333333333333,15.5,10,0.9472855328116027,0.9957671144118246,0.0025380710659898475,0.4991525927389073,0.5536311449112431
random_forest,down,39.33333333333333,20,10,0.9472855328116027,0.9958098716624677,0.002304092639593909,0.4990569821510308,0.5580021055353959
random_forest,down,44.666666666666664,2,10,0.9469484295239744,0.9953592930319266,0.003045685279187817,0.4992024891555572,0.5463752870280768
random_forest,down,44.666666666666664,6.5,10,0.9473738088106906,0.9958144933003106,0.003045685279187817,0.4994300892897492,0.5523909417144461
random_forest,down,44.666666666666664,11,10,0.9470671924128513,0.9955734096014549,0.0022057046168721295,0.49888955710916355,0.5501111408390148
random_forest,down,44.666666666666664,15.5,10,0.9471152669100215,0.99562363236011,0.0022057046168721295,0.49891466848849103,0.5542892546324139
random_forest,down,44.666666666666664,20,10,0.9471987807587906,0.9956744136862884,0.0025380710659898475,0.49910624237613915,0.5569116340878016
random_forest,down,50,2,10,0.9467471687505122,0.9949138946067518,0.005671380227217791,0.5002926374169848,0.5530476243131819
random_forest,down,50,6.5,10,0.9468443337090363,0.9950602715611873,0.005076142131979695,0.5000682068465835,0.5533672668839645
random_forest,down,50,11,10,0.9466653691595102,0.9948714166398706,0.005076142131979695,0.49997377938592513,0.5502787263640394
random_forest,down,50,15.5,10,0.9465781091246062,0.9948234791838612,0.004568527918781725,0.4996960035513215,0.5529697976675201
random_forest,down,50,20,10,0.9466190089201072,0.9947749831603283,0.005759004109257916,0.5002669936347931,0.5496337797793193
