file_name,variable_name,variable_description,notes,data_type,valid_min,valid_max,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24
meta_voice_android.csv,subid,Participant identifier,Only includes participants with android phones,numeric,2,270,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,number,Raw phone number from logs,Phone number appears as the user entered it,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,duration,Duration of voice call,In seconds,numeric,0,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,date,Date and time of log entry,In UTC timezone - converted from UNIX timestamp in milliseconds,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,type,Type of call,Blocked refers to being blocked automatically via block list,numeric,1,7,,incoming,outgoing,missed,voicemail,rejected,blocked,answered externally,,,,,,,,,,,,,,,,,
meta_voice_android.csv,presentation,Presentation of number on caller ID,,numeric,1,4,,number displayed,number blocked,number unknown by network,payphone,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,contact_name,Name of contact,,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,log_file,Raw log file that entry came from,,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,created,Creation date of log file,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,modified,Last modified date of log file,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_android.csv,number_formatted,Formatted phone number,10 digit US numbers,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,subid,Participant identifier,Only includes participants with android phones,numeric,2,270,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,address,Raw phone number or address of other party,Some numbers are email addresses,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,date,Date the message was recieved,In UTC timezone - converted from UNIX timestamp in milliseconds,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,type,Type of message,"Valid type options are 1, 2, 3, 4, or 5 (majority of ours are 1 or 2)",numeric,1,6,,inbox,sent,draft,outbox,failed,queued,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,body,Text message content,,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,read,Has the message been read?,Boolean value,numeric,0,1,no,yes,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,status,TP-Status value for the message (TP = transfer protocol),-1 = no status; 0 = status complete; 32 = status pending; 64 = status failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,locked,Is the message locked?,Boolean value; locking protects a message from being accidently deleted,numeric,0,1,no,yes,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,date_sent,Date the message was sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,contact_name,Name of contact,Multiple contacts in a single log entry possible as group message,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,log_file,Raw log file that entry came from,,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,created,Creation date of log file,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_sms_android.csv,modified,Last modified date of log file,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
