file_name,variable_name,variable_description,notes,data_type,valid_min,valid_max,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24
meta_voice_ios.csv,subid,Participant identifier,Only includes participants with android phones,numeric,2,270,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zdate,Date and time of log entry,In UTC timezone - converted from UNIX timestamp + 978307200,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zaddress,Raw phone number of other party,,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,znumber_availability,Was number available,1 and 2 mean blocked or unknown - need to figure out which is which,numeric,0,2,available,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,ziso_country_code,Two digit ISO country code,Check whether this is code where call was placed?,character,,,,be (Belgium),ca (Canada),de (Germany),mx (Mexico),nz (New Zealand),pe (Peru),tr (Turkey),us (United States),,,,,,,,,,,,,,,,
meta_voice_ios.csv,zlocation,Location ,Call origin location,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zopt,Number of times an entity has been changed,Starts at 1 when it is initially added to database,numeric,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zcalltype,Type of call,"Confirm what 0 is (0, 1, 8, 16 only options)",numeric,0,16,?,standard phone call,,,,,,,facetime audio call,,,,,,,,facetime audio/video call,,,,,,,,
meta_voice_ios.csv,zface_time_data,Facetime call data,Not sure yet what these are - Note 0 is a real value,numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zanswered,Call answered or rejected,,numeric,0,1,answered?,rejected?,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zoriginated,Call incoming or outgoing,,numeric,0,1,incoming,outgoing,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zduration,Call duration,note rejected calls may have a value greater than 0 (voicemails?),numeric,0,18065,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zread,Call read,Seen? Need to determine what 0 and 1 mean,numeric,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zcall_category,,possible values = 1 and 2,numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zhandle_type,,"possible values = 0, 1, 2, 3",numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zname,Name,"Check if display name, contact name, or both?",,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zservice_provider,Service provider that ran the call,Most are through apple (some facebook and whatsapp too),character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zunique_id,Unique identifier for log entry,May have duplicate entries because the key stays the same even if other variables like zread change,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,z_pk,Primary key for SQL tables,Likely won't use,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zlocalparticipantuuid,REMOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,zoutgoinglocalparticipantuuid,REMOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,log_file,Raw log file that entry came from,,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,created,Creation date of log file,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,modified,Last modified date of log file,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_voice_ios.csv,formatted_nuber,Formatted number,Uses extract number function from lab_support,character,,,,,,,,,,,,,,,,,,,,,,,,,,,
