name,data_type,question,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
utc,numeric,UTC timestamp survey opened,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subid,numeric,Subject ID number,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
start_date,POSIXct,Qualtrics Datetime Survey Started,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
end_date,POSIXct,Qualtrics Datetime Survey Ended,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ema_1,numeric,Have you drank any alcohol you have not yet reported?,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ema_1_1,POSIXct,Please indicate the date/hour of the first drink that you have not yet reported:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ema_1_3,POSIXct,Please indicate the date/hour of the last drink that you have not yet reported: ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ema_1_5,numeric,Is your goal still to remain abstinent in the future?,NA,no,uncertain,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
ema_2,numeric,Since your last survey...How intense was your greatest urge to drink alcohol?,no urges,mild,2,3,4,5,moderate,7,8,9,10,11,strong
ema_3,numeric,"Since your last survey...Did you encounter any risky situations (people, places, or things)?  If yes, rate the intensity of the situation. If you experienced more than one risky situation, rate the most intense one.",no risks,mild,2,3,4,5,moderate,7,8,9,10,11,strong
ema_4,numeric,"Since your last survey...Has a hassle or stressful event occurred? If yes, rate the intensity of the event. If you experienced more than one hassle or stressful event, rate the most intense one.",no events,mild,2,3,4,5,moderate,7,8,9,10,11,strong
ema_5,numeric,"Since your last survey...Has a pleasant or positive event occurred? If yes, rate the intensity of the event. If you experienced more than one pleasant or positive event, rate the most intense one.",no events,mild,2,3,4,5,moderate,7,8,9,10,11,strong
ema_6,numeric,How are you feeling right now? ,NA,Unpleasant/Unhappy,2,3,4,5,6,7,8,9,10,Pleasant/Happy,NA
ema_7,numeric,How are you feeling right now?,NA, Calm/Sleepy,2,3,4,5,6,7,8,9,10,Aroused/Alert,NA
ema_8,numeric,"How likely are you to encounter risky situations (people, places, or things) within the next week?",NA,Very unlikely,2,3,Unlikely,5,6,7,Likely,9,10,Very Likely,NA
ema_9,numeric,How likely are you to encounter a stressful event within the next week?,NA,Very unlikely,2,3,Unlikely,5,6,7,Likely,9,10,Very Likely,NA
ema_10,numeric,How likely are you to drink any alcohol within the next week?,NA,Very unlikely,2,3,Unlikely,5,6,7,Likely,9,10,Very Likely,NA
type,numeric,Survey Type,NA,morning,later,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
