name,data_type,label,value,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10
utc,numeric,UTC timestamp,UTC timestamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subid,numeric,Subject ID number,Range 1:270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_1,numeric,What is your age (in years)?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_2,numeric,What is your sex?,NA,female,male,NA,NA,NA,NA,NA,NA,NA,NA
dem_3,numeric,What is your race?,NA,American Indian/Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Black/African American,White/Caucasian,Other/Multiracial,NA,NA,NA,NA
dem_3_1,character,"If Other/Multiracial, please specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_4,numeric,"Are you of Hispanic, Latino, or Spanish origin?",NA,"No, I am not of Hispanic, Latino, or Spanish origin","Yes, Mexican, Mexican American, Chicano","Yes, Puerto Rican","Yes, Cuban","Yes, another Hispanic, Latino, or Spanish origin",,,,,
dem_4_1,character,"If another Hispanic, Latino, or Spanish origin, please specify",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_5,numeric,What is your highest level of education completed?,NA,Less than high school or GED degree,High school or GED,Some college,2-Year degree,College degree,Advanced degree,NA,NA,NA,NA
dem_6,numeric,What is your current employment status?,NA,Employed,"Temporarily laid off, sick leave, or maternity leave",Unemployed,Retired,Disabled,Homemaker,Full-time student,"Other, not otherwise specified",NA,NA
dem_6_1,numeric,"If employed, are you....",NA,Part-time,Full-time,NA,NA,NA,NA,NA,NA,NA,NA
dem_7,numeric,Please indicate your approximate total personal gross income (prior to deducting taxes) in dollars per year. Do not include a dollar sign ($).,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_8,numeric,What is your marital status?,NA,Married,Widowed ,Divorced,Separated,Never Married,NA,NA,NA,NA,NA
dem2_2,numeric,"How many living parents do you have (include biological, adopted, or step-parents)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem2_4,numeric,"How may deceased parents do you have (include biological, adopted, or step-parents)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem2_6,numeric,"How many living children do you have (include biological, adopted, or step-children)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem2_8,numeric,"How many deceased children do you have  (include biological, adopted, or step-children)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_1,numeric,"How old were you when you first tried alcohol without your family (i.e., alone or with friends only)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_2,numeric,At what age did you first begin drinking regularly-that is drinking at least once a week for 6 months or more?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_3,numeric,How old were you when you first believed that you had a drinking problem?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_4,numeric,How old were you when you first tried to quit drinking?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_5,numeric,How many times have you tried to quit drinking alcohol?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_1,numeric,Programs or treatments used in the past to help quit drinking: Long-Term Residential Treatment (more than 6 months),NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
