name,data_type,question,value,,,,,
subid,numeric,subject ID number,Range 1:270,,,,,
utc,numeric,utc timestamp of location report,utc timestamp,,,,,
street_address,character,street address of important location,street address,,,,,
city,character,city name of important location,city name,,,,,
state,character,state of important location,state 2 digit abbreciation,,,,,
type,character,type of location ,AA/RECOVERY MEETING; BAR; CHURCH; COFFEE SHOP/CAFE; EALTH CARE; ERRANDS; GYM/FITNESS CENTER; HOME; HOME OF FAMILY MEMBER; HOME OF FRIEND; LIQUOR STORE; NA   ; OTHER; PARK; RESTAURANT; SCHOOL; VOLUNTEER; WORK; ,,,,,AA/RECOVERY MEETING
drank,character,I've drank alcohol here before,"YES, NO, NA",,,,,
alcohol,character,Alcohol is available here,"YES, NO, NA",,,,,
emotion,character,This place is…,Pleasant; Unpleasant; Mixed; Neutral,,,,,
risk,character,Does being at this location put you at any risk to begin drinking?,High; Medium; Low; No Risk;NA,,,,,
avoid,character,Is the subject trying to avoid this location,"YES, NO",,,,,
vacation,character,Is this location a where the subject was vacationing,"YES, NO, NA",,,,,
full_address,character,concatenation of street_address city and state fields,,,,,,
lat,numeric,geocoded latitude of address,latitude value,,,,,
long,numeric,geocoded longitude of address,latitude value,,,,,
