sort,name,data_type,question,value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
1,utc,numeric,UTC timestamp,UTC timestamp,NA,NA,NA,NA,NA,NA,NA,NA
2,subid,numeric,Subject ID number,Range 1:270,NA,NA,NA,NA,NA,NA,NA,NA
3,pacs_1,numeric,How often have you thought about drinking or about how good a drink would make you feel?,NA,Never—0 times during this period of time,Rarely—1 to 2 times during this period of time,Occasionally—3 to 4 times during this period of time,o Sometimes—5 to 10 times during this period of time  (4),Often—11 to 20 times during this period of time,Most of the time—20 to 40 times during this period of time,Nearly all of the time—more than 40 times or more than 6 times per day,NA
4,pacs_2,numeric,"At its most severe point, how strong was your craving?",NA,Never—0 times during this period of time,Rarely—1 to 2 times during this period of time,Occasionally—3 to 4 times during this period of time,o Sometimes—5 to 10 times during this period of time  (4),Often—11 to 20 times during this period of time,Most of the time—20 to 40 times during this period of time,Nearly all of the time—more than 40 times or more than 6 times per day,NA
5,pacs_3,numeric,How much time have you spent thinking about drinking or about how good a drink would make you feel?,NA,Never—0 times during this period of time,Rarely—1 to 2 times during this period of time,Occasionally—3 to 4 times during this period of time,o Sometimes—5 to 10 times during this period of time  (4),Often—11 to 20 times during this period of time,Most of the time—20 to 40 times during this period of time,Nearly all of the time—more than 40 times or more than 6 times per day,NA
6,pacs_4,numeric,How difficult would it have been to resist taking a drink if you had known a bottle were in your house?,NA,Never—0 times during this period of time,Rarely—1 to 2 times during this period of time,Occasionally—3 to 4 times during this period of time,o Sometimes—5 to 10 times during this period of time  (4),Often—11 to 20 times during this period of time,Most of the time—20 to 40 times during this period of time,Nearly all of the time—more than 40 times or more than 6 times per day,NA
7,pacs_5,numeric,"Keeping in mind your responses to the previous questions, please rate your overall average alcohol craving for the past month.",NA,Never—0 times during this period of time,Rarely—1 to 2 times during this period of time,Occasionally—3 to 4 times during this period of time,o Sometimes—5 to 10 times during this period of time  (4),Often—11 to 20 times during this period of time,Most of the time—20 to 40 times during this period of time,Nearly all of the time—more than 40 times or more than 6 times per day,NA
8,aase_1,numeric,When I am in agony because of stopping or withdrawing from alcohol use,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
9,aase_2,numeric,When I have a headache,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
10,aase_3,numeric,When I am feeling depressed,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
11,aase_4,numeric,When I am on vacation and want to relax,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
12,aase_5,numeric,When I am concerned about someone,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
13,aase_6,numeric,When I am very worried,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
14,aase_7,numeric,When I have the urge to try just one drink to see what happens,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
15,aase_8,numeric,When I am being offered a drink in a social situation,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
