var_name,var_class,var_stem,var_valid_min,var_valid_max,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,notes
response_id,text,Qualtrics generated response id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
start_date,date,Qualtrics generated start date and time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
end_date,date,Qualtrics generated end date and time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subid,numeric,What is the participant's subid?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_2,character,which followup visit is this?,,,,Followup #1,Followup #2,,,,,,,,,,,
ssfu_5,text,What time did the participant arrive in the lab?,,,,,,,,,,,,,,,,
ssfu_6,character,Has the participant drank alcohol since you last saw them?,,,,no,yes,,,,,,,,,,,
ssfu_7,character,Does participant want to complete a BMI session? ,,,,no,yes,,,,,,,,,,,
ssfu_8,text,Enter last name of counselor completing BMI session with participant. ,,,,,,,,,,,,,,,,
ssfu_9,character,Was the interview form reviewed and updated as needed? ,,,,no,yes,,,,,,,,,,,
ssfu_10,text,If no please explain below,,,,,,,,,,,,,,,,
ssfu_11,character,Did lab staff retrieve phone log and sms content from participant's phone? ,,,,no,yes,,,,,,,,,,,
ssfu_12,text,If no please explain below,,,,,,,,,,,,,,,,
ssfu_13,text,Please record name of staff member below. ,,,,,,,,,,,,,,,,
ssfu_14,character,Did participant complete the ID followup 1 and 2 Battery?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_15,text,If no please explain below,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_16,character,Was participant's ema form reviewed and updated as needed?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_17,text,If no please explain below,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_18,character,Did RA ask participant if they had any questions or concerns about the wristband?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_19,character,Did RA ask participant if they had any questions or concerns abut use of sleep monitor?  ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_20,character,Did RA ask participant if they had any questions or concerns about responding to daily EMA? ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_21,character,Did RA ask participant if they had any questions or concerns about responding to daily audio survey?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_22,text,"Please note any questions or concerns expressed by participant about the use of mobile and wireless devices. If participant did not have any questions, or express any concerns, please indicate that below. ",,,,,,,,,,,,,,,,
ssfu_23,character,Did RA remind participant of the date they will be expected to transfer their cell phone service back to a personal account? ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssfu_24,text,"If no, explain below why participant wasn't reminded? ",,,,,,,,,,,,,,,,
ssfu_25,character,Was participant's follow up appointment scheduled? ,,,,no,yes,,,,,,,,,,,
ssfu_26,character,Which followup session was scheduled?,,,,followup 2,followup 3,,,,,,,,,,,
ssfu_27,text,Enter session date (mm/dd/yyyy) for follow-up #2 appointment. ,,,,,,,,,,,,,,,,
ssfu_28,text,Enter session time for follow-up #2 appointment. ,,,,,,,,,,,,,,,,
ssfu_29,text,Enter session date (mm/dd/yyyy) for follow-up #3 appointment. ,,,,,,,,,,,,,,,,
ssfu_30,text,Enter session time for follow-up #3 appointment. ,,,,,,,,,,,,,,,,
ssfu_33,text,What time did the participant depart from the lab? (e.g. 4:00 p.m.),,,,,,,,,,,,,,,,
ssfu_34,character,Did participant complete this session?,,,,no,yes,,,,,,,,,,,
ssfu_35,text,"If no, please explain below why session is incomplete. ",,,,,,,,,,,,,,,,
ssfu_36,character,Was participant's follow-up appointment scheduled? ,,,,no,yes,,,,,,,,,,,
ssfu_40,text,Please explain below why participant's follow-up appointment was not scheduled. ,,,,,,,,,,,,,,,,
