var_name,var_class,var_stem,var_valid_min,var_valid_max,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,notes
response_id,text,Qualtrics generated response id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
start_date,date,Qualtrics generated start date and time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
end_date,date,Qualtrics generated end date and time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subid,numeric,What is the participant's subid?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfir_4,text,What time did the participant arrive?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfir_5_1_1,numeric,Enter participant's sobriety date - month,1,12,NA,January,February,March,April,May,June,July,August,September,October,November,December,NA
sfir_5_2_1,numeric,Enter participant's sobriety date - day,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfir_5_3_1,numeric,Enter participant's sobriety date - year,2016,2021,NA,2016,2017,2018,2019,2020,2021,NA,NA,NA,NA,NA,NA,NA
sfir_6,character,Has the participant drank alcohol since you last saw them?,,,,no,yes,,,,,,,,,,,
q197,character,Is the participant able to continue the session?,,,,no,yes,,,,,,,,,,,only in session form 1
q131,character,Will participant continue with study today? (after description of intake process),,,,no,yes,,,,,,,,,,,only is session form 1
sfir_7,character,Does participant want to complete MET session? ,,,,no,yes,,,,,,,,,,,
sfir_8,text,Enter last name of counselor completing MET session with participant. ,,,,,,,,,,,,,,,,
sfir_9,character,How many weeks has the participant gone without alcohol?,NA,NA,NA,Under 1 Week-Session must be rescheduled,Between 1 and 8 Weeks-Continue with session,Over 8 Weeks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfir_10,character,Participant has been sober for less than one week and is ineligible to participate at this time. Does participant want to reschedule intake session? ,,,,no,yes,,,,,,,,,,,
sfir_11,character,How and when will session be rescheduled?,,,,Participant will call RA to reschedule,RA will call participant to reschedule,Participant can reschedule now,,,,,,,,,,
sfir_16,character,Did participant complete recovery environment interview? ,,,,no,yes,,,,,,,,,,,
sfir_17,text,If no please explain below,,,,,,,,,,,,,,,,
sfir_18,character,Did participant register for an Apple ID?,,,,No - not transferring service,Yes,Participant already has apple id,,,,,,,,,,
sfir_19,text,Please describe in detail if there were any issues or concerns. ,,,,,,,,,,,,,,,,
sfir_20,character,Did participant complete the Intake Battery?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfir_21,text,If no please explain below,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
q112,character,Is participant using their own phone?,,,,no,yes,,,,,,,,,,,
q113,character,Was participant's SIM put into the study iPhone?,,,,no,yes,,,,,,,,,,,
q115,character,Was the participant shown how to use the study iPhone?,,,,no,yes,,,,,,,,,,,
sfir_43,character,Is participant transferring their cell phone service to a study iPhone? ,,,,no,yes,,,,,,,,,,,
sfir_44,character,Was participant's phone successfully transferred by the end of this session? ,,,,no,yes,,,,,,,,,,,
sfir_45,text,Please describe why participant's phone was not transferred. ,,,,,,,,,,,,,,,,
sfir_46,text,"Please describe in detail if there were there any concerns or issues with the study iPhone. In particular, please describe any task that was not completed. ",,,,,,,,,,,,,,,,
q141,character,Is the Participant using an iPhone or an Android?,,,,Android,iPhone,,,,,,,,,,,
q198,character,Is the participant able to continue the session? (after discussing wifi/tech requirements),,,,no,yes,,,,,,,,,,,
sfir_22,character,"Did staff review the E4 package contents (writsband, USB dock, and USB cable) with participant?",,,,no,yes,,,,,,,,,,,
sfir_23,character,Did staff show participant how to charge the wristband? ,,,,no,yes,,,,,,,,,,,
sfir_24,character,Did staff show participant how to wear the wristband?,,,,no,yes,,,,,,,,,,,
sfir_25,character,Did staff show participant how to record sessions on the wristband? ,,,,no,yes,,,,,,,,,,,
sfir_26,character,Did staff show participant how to connect to mobile hotspot and upload data from the wristband using the tablet and Empatica Manager?,,,,no,yes,,,,,,,,,,,
sfir_27,text,"Please describe in detail if there were any concerns or issues. In particular, please describe any task that was not completed. ",,,,,,,,,,,,,,,,
sfir_28,character,Did staff review beddit package contents with participant?,,,,no,yes,,,,,,,,,,,
sfir_29,character,Did staff show participant how to place beddit on their mattress? ,,,,no,yes,,,,,,,,,,,
sfir_30,character,Did staff show participant how to use the beddit app?,,,,no,yes,,,,,,,,,,,
sfir_31,text,"Please describe in detail if there were any concerns or issues?  In particular, please describe any task that was not completed. ",,,,,,,,,,,,,,,,
sfir_32,character,Did staff review MOVES app with participant? Make sure participant knows how to stop and resume tracking. ,,,,no,yes,,,,,,,,,,,
sfir_33,text,"Please describe in detail if there were any issues or concerns. In particular, please describe any task that was not completed. ",,,,,,,,,,,,,,,,
sfir_34,character,Was participant shown how to delete phone logs?,,,,no,yes,,,,,,,,,,,
sfir_35,character,Was participant shown how to delete text messages?,,,,no,yes,,,,,,,,,,,
sfir_36,text,"Please describe in detail if there were any concerns or issues. In particular, please describe any task that was not completed. ",,,,,,,,,,,,,,,,
sfir_37,character,Did staff complete EMA survey demo and practice with participant? ,,,,no,yes,,,,,,,,,,,
sfir_38,character,Did staff complete Audio EMA demo and practice with participant?  ,,,,no,yes,,,,,,,,,,,
sfir_39,character,Was EMA form (wake and bed times) completed? ,,,,no,yes,,,,,,,,,,,
sfir_40,text,"Please describe in detail if there were there any concerns or issues with EMA demo and practice. In particular, please describe any task that was not completed. ",,,,,,,,,,,,,,,,
sfir_41,character,Was the technology use agreement reviewed and signed by participant? ,,,,no,yes,,,,,,,,,,,
sfir_42,text,"Please describe in detail if there were any concerns or issues with completing the technology use agreement. In particular, please explain if the use agreement was not completed. ",,,,,,,,,,,,,,,,
sfir_47,character,Did participant complete feedback form?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfir_48,text,Please explain below why feedback from was not completed. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfir_49,character,Did you schedule followup appointment #1 with participant? ,,,,no,yes,,,,,,,,,,,
sfir_50,text,Why was follow-up #1 not scheduled? ,,,,,,,,,,,,,,,,
sfir_51,text,Insert date of follow-up#1 appointment below (mm/dd/yyyy). ,,,,,,,,,,,,,,,,
sfir_52,text,Insert time of scheduled follow-up #1 appointment ,,,,,,,,,,,,,,,,
sfir_55,text,What time did the participant depart from the lab?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfir_56,character,Did participant complete the intake session?,,,,no,yes,,,,,,,,,,,
sfir_57,text,Why was the session incomplete?,,,,,,,,,,,,,,,,
sfir_58,text,Please note any additional concerns or issues with intake session. ,,,,,,,,,,,,,,,,
